goos: linux
goarch: amd64
pkg: github.com/derickschaefer/reserve/tests/benchmarks
cpu: DO-Regular
BenchmarkV2MarshalSeriesData_CPIAUCSL   	    1785	    818261 ns/op	 132.78 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	     992	   1330660 ns/op	  81.65 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	     913	   1328943 ns/op	  81.76 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	     884	   1340258 ns/op	  81.07 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	     870	   1329755 ns/op	  81.71 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1062	   1151144 ns/op	  94.38 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1153	   1150785 ns/op	  94.41 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1094	   1083738 ns/op	 100.25 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1171	   1089247 ns/op	  99.75 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1166	   1125693 ns/op	  96.52 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1107	   1058707 ns/op	 102.62 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1124	   1107082 ns/op	  98.14 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1116	   1042552 ns/op	 104.21 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1087	   1124953 ns/op	  96.58 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2UnmarshalSeriesData_CPIAUCSL 	    1107	   1083359 ns/op	 100.29 MB/s	  203961 B/op	    2804 allocs/op
BenchmarkV2MarshalMetaBatch             	   31291	     39274 ns/op	 394.64 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   31308	     42511 ns/op	 364.54 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   32551	     34713 ns/op	 446.49 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   31389	     36642 ns/op	 422.96 MB/s	   16432 B/op	       3 allocs/op
BenchmarkV2MarshalMetaBatch             	   31310	     37683 ns/op	 411.27 MB/s	   16432 B/op	       3 allocs/op
